zone,station_code,station_name,municipality,valid_vv_records,days_with_vv,expected_days,days_with_vv_pct,zero_count,zeros_pct,vv_min_m_s,vv_mean_m_s,vv_median_m_s,vv_max_m_s,median_resolution_min
1,5102500128,RESERVA NATURAL LA PLANADA,Ricaurte (Nariño),102765,791,2191,36.102,0,0.0,0.1,0.624494720965309,0.5,3.6,10
1,51025060,BIOTOPO,Barbacoas,129251,886,2191,40.438,5083,3.9327,0,11.8845022475648,0.4,60.2,10
1,51025080,ALTAQUER,Barbacoas,168648,1184,2191,54.039,1,0.0006,0,1.72527453631232,1.6,8.8,10
1,51025090,GRANJA MIRA,Tumaco,135648,1451,2191,66.225,3790,2.794,0,0.796309779723992,0.644,60,10
1,51035020,CCCP DL PACIFICO,Tumaco,81400,547,2191,24.966,1,0.0012,0,1.59574692874693,1.3,5.9,10
2,52055160,VOLCAN CHILES,Cumbal,42506,276,2191,12.597,0,0.0,0.2,8.9972427422011,9.1,32.7,10
2,52055170,LA JOSEFINA,Contadero,192159,1401,2191,63.943,0,0.0,0.1,2.624569236934,2.5,9.3,10
2,52055220,EL PARAISO,Túquerres,222289,1568,2191,71.565,1,0.0004,0,2.48236170030906,2.2,12.7,10
2,52055230,AEROPUERTO SAN LUIS,Aldana,143557,1185,2191,54.085,622,0.4333,0,2.1141128610935,1.7,8.7,10
3,47015100,EL ENCANO,Pasto,116214,797,2191,36.376,0,0.0,0.1,2.10206429517958,1.8,9.5,10
3,52045080,UNIVERSIDAD DE NARINO,Pasto,191172,1386,2191,63.259,0,0.0,0.1,1.45601761764275,1.3,7.1,10
3,5205500123,LAS IGLESIAS,Pasto,75848,516,2191,23.551,0,0.0,0.1,3.02885376015188,2.6,13.8,10
3,52055150,CERRO PARAMO,Puerres,167948,1205,2191,54.998,1,0.0006,0,4.79770226498678,4.3,25.7,10
3,52055210,BOTANA,Pasto,206772,1446,2191,65.997,5,0.0024,0,1.73348664229199,1.6,8.9,10
4,52035040,VIENTO LIBRE,Taminango,190304,1376,2191,62.802,60,0.0315,0,3.64345836135867,3.8,9.4,10
4,52040050,APONTE,El Tablón,52124,381,2191,17.389,0,0.0,0.1,2.54992901542476,2.2,10.9,10
