figure_id,caption,printed_page,pdf_page_1based,evidence_file,authority,status,evidence_note
1.1,Estructura del documento,26,34,07_FIGURES/canonical_thesis_evidence/Figure_1_1.png,corrected_thesis_pdf,canonical_evidence,
2.1,Mapa de zonificación analítica y estaciones meteorológicas IDEAM en Nariño.,32,40,07_FIGURES/canonical_thesis_evidence/Figure_2_1.png,corrected_thesis_pdf,canonical_evidence,
2.2,Cobertura temporal de registros de velocidad del viento por estación meteorológica.,33,41,07_FIGURES/canonical_thesis_evidence/Figure_2_2.png,corrected_thesis_pdf,canonical_evidence,
2.3,Distribución de la velocidad del viento por zona analítica.,39,47,07_FIGURES/canonical_thesis_evidence/Figure_2_3.png,corrected_thesis_pdf,canonical_evidence,
2.4,Distribución de la densidad de potencia eólica por zona analítica.,40,48,07_FIGURES/canonical_thesis_evidence/Figure_2_4.png,corrected_thesis_pdf,canonical_evidence,
2.5,Función acumulada empírica y ajustes Weibull/Rayleigh de la velocidad del viento por zona analítica.,43,51,07_FIGURES/canonical_thesis_evidence/Figure_2_5.png,corrected_thesis_pdf,canonical_evidence,
2.6,Función de autocorrelación diaria de la velocidad del viento por zona analítica.,46,54,07_FIGURES/canonical_thesis_evidence/Figure_2_6.png,corrected_thesis_pdf,canonical_evidence,
2.7,Función de autocorrelación parcial diaria de la velocidad del viento por zona analítica.,47,55,07_FIGURES/canonical_thesis_evidence/Figure_2_7.png,corrected_thesis_pdf,canonical_evidence,
2.8,Espectro FFT diario de la velocidad del viento por zona analítica.,50,58,07_FIGURES/canonical_thesis_evidence/Figure_2_8.png,corrected_thesis_pdf,canonical_evidence,
2.9,Distribución de energía espectral de la velocidad del viento por banda temporal.,51,59,07_FIGURES/canonical_thesis_evidence/Figure_2_9.png,corrected_thesis_pdf,canonical_evidence,
2.10,Espectro Wavelet Morlet de la velocidad del viento por zona analítica.,53,61,07_FIGURES/canonical_thesis_evidence/Figure_2_10.png,corrected_thesis_pdf,canonical_evidence,
3.1,"Flujo metodológico del Capítulo 3: datos meteorológicos, construcción física de WPD, partición temporal, modelos candidatos, integración final y evaluación predictiva.",60,68,07_FIGURES/canonical_thesis_evidence/Figure_3_1.png,corrected_thesis_pdf,canonical_evidence,
3.2,"Esquema de partición temporal declarado para entrenamiento, validación y prueba.",63,71,07_FIGURES/canonical_thesis_evidence/Figure_3_2.png,corrected_thesis_pdf,canonical_evidence,
