Zona,Year,periodo_fuente,horas_teo,horas_obs,coverage_reportada,WPD_central_TDQ,WPD_Q50,WPD_Q90,FNRR,es_historico,es_proyeccion,es_reconstruido_sin_observacion,coverage_observacional,definicion_WPD_central,Q90_corregido,cuantiles_cruzados,coherencia,E_free_final_kWh_m2,E_usable_final_kWh_m2,fuente_energia_final,estado_observacional,estado_temporal_final,coverage_observacional_final,Zona_label
1,2017,Observado 2017-2022,8760,3681,0.420205479452055,2.03256021705915,3.60517358538823,3.60517358538823,0,TRUE,FALSE,FALSE,0.420205479452055,media_aritmetica_de_serie_historica_reconstruida,3.60517358538823,FALSE,1,17.8052275014382,17.8052275014382,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,historico_reconstruido_con_soporte_observacional_parcial,0.420205479452055,Zona 1
1,2018,Observado 2017-2022,8760,4169,0.475913242009133,3.21830196395209,3.60517358538823,5.95055927628001,0.105838325053925,TRUE,FALSE,FALSE,0.475913242009133,media_aritmetica_de_serie_historica_reconstruida,5.95055927628001,FALSE,0.894161674946075,28.1923252042203,25.2084967252301,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,historico_reconstruido_con_soporte_observacional_parcial,0.475913242009133,Zona 1
1,2019,Observado 2017-2022,8760,4317,0.492808219178082,6.54104590488191,3.60517358538823,10.5648506898823,0.314063725431757,TRUE,FALSE,FALSE,0.492808219178082,media_aritmetica_de_serie_historica_reconstruida,10.5648506898823,FALSE,0.685936274568243,57.2995621267655,39.3038481796251,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,historico_reconstruido_con_soporte_observacional_parcial,0.492808219178082,Zona 1
1,2020,Observado 2017-2022,8784,4200,0.478142076502732,2.41942208723546,3.60517358538823,3.60517358538823,0,TRUE,FALSE,FALSE,0.478142076502732,media_aritmetica_de_serie_historica_reconstruida,3.60517358538823,FALSE,1,21.2522036142763,21.2522036142763,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,historico_reconstruido_con_soporte_observacional_parcial,0.478142076502732,Zona 1
1,2021,Observado 2017-2022,8760,3130,0.357305936073059,2.05781064272445,3.60517358538823,3.60517358538823,0,TRUE,FALSE,FALSE,0.357305936073059,media_aritmetica_de_serie_historica_reconstruida,3.60517358538823,FALSE,1,18.0264212302662,18.0264212302662,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,historico_reconstruido_con_soporte_observacional_parcial,0.357305936073059,Zona 1
1,2022,Observado 2017-2022,8760,787,0.593949771689498,3.04631823325272,3.60517358538823,3.94986206994739,0.0410460604359589,TRUE,FALSE,FALSE,0.593949771689498,media_aritmetica_de_serie_historica_reconstruida,3.94986206994739,FALSE,0.958953939564041,26.6857477232938,25.5904029094648,identidad_fisica_WPD_central_x_horas,historico_con_observaciones,anio_mixto_observacion_parcial_y_proyeccion_T3_T4,0.593949771689498,Zona 1
1,2023,Proyectado 2023-2028,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,0.110554978616003,FALSE,TRUE,FALSE,,indice_cuantilico_0.6_Q50_mas_0.4_Q90,4.56782040548437,FALSE,0.889445021383997,34.9544350656178,31.090048244404,identidad_fisica_WPD_central_x_horas,proyeccion,escenario_proyectado,,Zona 1
1,2024,Proyectado 2023-2028,8784,0,1,3.99023231342669,3.60517358538823,4.56782040548437,0.110554978616003,FALSE,TRUE,FALSE,,indice_cuantilico_0.6_Q50_mas_0.4_Q90,4.56782040548437,FALSE,0.889445021383997,35.0502006411401,31.1752264587722,identidad_fisica_WPD_central_x_horas,proyeccion,escenario_proyectado,,Zona 1
1,2025,Proyectado 2023-2028,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,0.110554978616003,FALSE,TRUE,FALSE,,indice_cuantilico_0.6_Q50_mas_0.4_Q90,4.56782040548437,FALSE,0.889445021383997,34.9544350656178,31.090048244404,identidad_fisica_WPD_central_x_horas,proyeccion,escenario_proyectado,,Zona 1
1,2026,Proyectado 2023-2028,8760,0,1,3.99023231342669,3.60517358538823,4.56782040548437,0.110554978616003,FALSE,TRUE,FALSE,,indice_cuantilico_0.6_Q50_mas_0.4_Q90,4.56782040548437,FALSE,0.889445021383997,34.9544350656178,31.090048244404,identidad_fisica_WPD_central_x_horas,proyeccion,escenario_proyectado,,Zona 1
