Zona,Horizonte,h,Target,Modelo,n_total_windows,n_train,n_val,n_test,RMSE,MAE,R2,Skill_vs_Persist,Lookback,Stride,Epochs_ran,Batch,units1,units2,dropout,lr,ModeloFile,PredFile,FigSerie,FigResid,FigCurva
1,Corto,1,WPD,LSTM_TDQ_BAYES,20000,14000,3000,3000,411.983453276694,13.1866754314895,-0.0158213531858151,0.287452971416545,48,2,15,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.png
1,Corto,1,Eh,LSTM_TDQ_BAYES,20000,14000,3000,2999,411.983453276694,13.1866754314895,-0.0158213531858151,0.287452971416545,48,2,15,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z1_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z1_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Corto_h1_LSTM_TDQ_BAYES.png
1,Medio,12,WPD,LSTM_TDQ_BAYES,10871,7611,1630,1630,41.3587578262404,7.29496743403734,-894.483175462256,-27.2693947604153,168,4,9,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.png
1,Medio,12,Eh,LSTM_TDQ_BAYES,10871,7611,1630,1607,277.220628056714,86.4334191134516,-1068.43348635398,-55.7729743354663,168,4,9,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z1_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z1_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Medio_h12_LSTM_TDQ_BAYES.png
1,Largo,72,WPD,LSTM_TDQ_BAYES,5407,3785,811,811,40.2272579365536,13.7100677649243,-499.588127538659,-20.6814833072521,336,8,9,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.png
1,Largo,72,Eh,LSTM_TDQ_BAYES,5407,3785,811,668,1140.72947388529,1005.96695384363,-726.098194865076,-30.8171441406122,336,8,9,512,96,48,0.228157866667196,0.00194313103540506,SALIDAS/MODELOS/DL_MODEL_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z1_Largo_h72_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z1_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z1_Largo_h72_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z1_Largo_h72_LSTM_TDQ_BAYES.png
2,Corto,1,WPD,LSTM_TDQ_BAYES,20000,14000,3000,3000,8.31256716081855,5.92687418084589,0.467058803180756,0.214044231424721,48,2,10,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.png
2,Corto,1,Eh,LSTM_TDQ_BAYES,20000,14000,3000,2999,8.31256716081855,5.92687418084589,0.467058803180756,0.214044231424721,48,2,10,256,128,32,0.19727344722487,0.00251258277858089,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Corto_h1_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z2_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z2_Corto_h1_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Corto_h1_LSTM_TDQ_BAYES.png
2,Medio,12,WPD,LSTM_TDQ_BAYES,10948,7664,1642,1642,11.0165312437262,7.53433226794409,0.0872460951034367,0.216588387566302,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.png
2,Medio,12,Eh,LSTM_TDQ_BAYES,10948,7664,1642,1619,45.8054844845404,36.8802780556112,0.538696001007061,0.368262961464565,168,4,28,512,96,48,0.178157866667196,0.00228603651224125,SALIDAS/MODELOS/DL_MODEL_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.keras,SALIDAS/PREDICCIONES/DL_PRED_WPD_Eh_Z2_Medio_h12_LSTM_TDQ_BAYES.csv,SALIDAS/FIG_PUBLICABLE/SERIE_Eh_Z2_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_PUBLICABLE/RESID_Eh_Z2_Medio_h12_LSTM_TDQ_BAYES.png,SALIDAS/FIG_ANEXOS/CURVA_WPD_Z2_Medio_h12_LSTM_TDQ_BAYES.png
