Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,R2_ord,Skill_ord
1,Corto,1,XGB,8717,241.828867191554,6.53872646887922,-0.0170597287196483,0.286929220421698,-0.0170597287196483,0.286929220421698
1,Medio,12,XGB,8695,610.972282833655,48.0433683629963,0.459569865971868,0.480630614159106,0.459569865971868,0.480630614159106
1,Largo,72,XGB,8575,704.790421540374,126.856983689549,0.88080867289009,0.757043790835814,0.88080867289009,0.757043790835814
2,Corto,1,XGB,8779,6.24962275001133,3.50805666118799,0.741790978358348,0.155718002102345,0.741790978358348,0.155718002102345
2,Medio,12,RF,8757,23.081562503675,15.4592293468986,0.950390871396993,0.801167466537463,0.950390871396993,0.801167466537463
2,Largo,72,XGB,8637,59.4688529899946,39.5121290668622,0.98115576431812,0.867717293539078,0.98115576431812,0.867717293539078
3,Corto,1,XGB,8483,3.31555650526777,1.80799138826211,0.793154120536555,0.113757836820201,0.793154120536555,0.113757836820201
3,Medio,12,XGB,8461,16.1907484938762,10.9372974461123,0.934324428993864,0.787132875506629,0.934324428993864,0.787132875506629
3,Largo,72,XGB,8341,55.304092022696,48.8355690254204,0.953775841221876,0.803491129251998,0.953775841221876,0.803491129251998
4,Corto,1,RF,7435,18.0729414696264,10.4231631357746,0.571121082766766,0.0841114902572938,0.571121082766766,0.0841114902572938
4,Medio,12,XGB,7413,65.2039330020817,44.6065407535562,0.91293068359957,0.744234315649875,0.91293068359957,0.744234315649875
4,Largo,72,XGB,7293,145.65269715273,119.304239972448,0.974128820599194,0.832110164892754,0.974128820599194,0.832110164892754
