Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,R2_ord,Skill_ord
1,Corto,1,XGB_Bayes,8717,239.050199858137,10.3483676427572,0.00617847760061341,0.29512256187278,0.00617847760061341,0.29512256187278
1,Medio,12,RF,8695,669.313922974205,54.548430164261,0.351430893113384,0.431036119187559,0.351430893113384,0.431036119187559
1,Largo,72,RF,8575,1019.24681464213,209.472910729545,0.750722319605225,0.648644001507704,0.750722319605225,0.648644001507704
2,Corto,1,XGB,8779,6.23588848728326,3.50754795586604,0.742924619210482,0.157573408618791,0.742924619210482,0.157573408618791
2,Medio,12,XGB_Bayes,8757,21.5968318675815,14.088692057463,0.956567854535076,0.813957447884563,0.956567854535076,0.813957447884563
2,Largo,72,XGB_Bayes,8637,53.8466434619065,37.1789707265395,0.984550420040148,0.880223354363742,0.984550420040148,0.880223354363742
3,Corto,1,XGB,8483,3.38304215629788,1.78725291041368,0.784648041642315,0.0957190462710142,0.784648041642315,0.0957190462710142
3,Medio,12,XGB_Bayes,8461,15.7495840437245,10.9113681055328,0.937854715450466,0.79293306491529,0.937854715450466,0.79293306491529
3,Largo,72,XGB,8341,53.0548550331026,45.3345907596559,0.957459288656584,0.81148321455173,0.957459288656584,0.81148321455173
4,Corto,1,RF,7435,18.0729414696264,10.4231631357746,0.571121082766766,0.0841114902572938,0.571121082766766,0.0841114902572938
4,Medio,12,XGB,7413,65.1825806578562,45.9881546171937,0.912987699473435,0.744318071286719,0.912987699473435,0.744318071286719
4,Largo,72,XGB,7293,164.920084495696,140.039162154184,0.966831467092235,0.80990118045791,0.966831467092235,0.80990118045791
