Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,R2_ord,Skill_ord
1,Corto,1,XGB_Bayes,8717,239.050199858137,10.3483676427572,0.00617847760061341,0.29512256187278,0.00617847760061341,0.29512256187278
1,Medio,12,XGB_Bayes,8706,239.200648736921,10.3495380984334,0.00618170541050644,0.295134613673782,0.00618170541050644,0.295134613673782
1,Largo,72,XGB_Bayes,8646,240.02759172386,10.3755504648663,0.00619189098812822,0.295140245099674,0.00619189098812822,0.295140245099674
2,Corto,1,XGB,8779,6.23588848728326,3.50754795586604,0.742924619210482,0.157573408618791,0.742924619210482,0.157573408618791
2,Medio,12,XGB,8768,6.23968342987031,3.51084451088247,0.742764583732712,0.622853791849539,0.742764583732712,0.622853791849539
2,Largo,72,XGB,8708,6.25235216836944,3.52170207525514,0.74272057816454,0.57654716516858,0.74272057816454,0.57654716516858
3,Corto,1,XGB,8483,3.38304215629788,1.78725291041368,0.784648041642315,0.0957190462710142,0.784648041642315,0.0957190462710142
3,Medio,12,XGB,8472,3.38374479467123,1.7870221990413,0.784793553765683,0.6722065993948,0.784793553765683,0.6722065993948
3,Largo,72,XGB,8412,3.31250099694751,1.7530682799318,0.789980938914244,0.593090334400772,0.789980938914244,0.593090334400772
4,Corto,1,RF,7435,18.0729414696264,10.4231631357746,0.571121082766766,0.0841114902572938,0.571121082766766,0.0841114902572938
4,Medio,12,RF,7424,18.0859807477991,10.4351028670728,0.570928654591812,0.521332833224266,0.570928654591812,0.521332833224266
4,Largo,72,RF,7364,18.108738389477,10.4447765850144,0.568904667768709,0.458961967375588,0.568904667768709,0.458961967375588
