Zona,id_estacion,codigo_estacion,nombre_estacion,municipio,rango_altitud_articulo_msnm,latitud,longitud,n_registros,fecha_min,fecha_max,n_variables,variables,zona_metadata,zona_consistente
1,S05,5102500128,RESERVA NATURAL LA PLANADA,Ricaurte (Nariño),,1.15783333,-77.9765,347507,2019-07-23T08:00:00Z,2022-06-30T20:40:00Z,7,DV; HR; PA; PR; TM; TMIN; VV,1,TRUE
1,S04,51025060,BIOTOPO,Barbacoas,,1.40863889,-78.28161111,460923,2017-01-01T05:00:00Z,2021-02-09T13:10:00Z,7,DV; EV; HR; PA; PR; TM; VV,1,TRUE
1,S03,51025080,ALTAQUER,Barbacoas,,1.24833333,-78.0925,621888,2017-10-27T06:00:00Z,2021-04-29T17:00:00Z,7,DV; HR; PA; PR; TM; TMIN; VV,1,TRUE
1,S02,51025090,GRANJA MIRA,Tumaco,,1.55019444,-78.69558333,504162,2017-01-01T05:00:00Z,2022-07-01T00:00:00Z,10,DV; EV; FA; HR; NU; PA; PR; TM; TMIN; VV,1,TRUE
1,S01,51035020,CCCP DL PACIFICO,Tumaco,,1.81916667,-78.73,295897,2017-01-01T12:00:00Z,2022-07-01T17:00:00Z,9,DV; FA; HR; NU; PA; PR; TM; TMIN; VV,1,TRUE
2,S09,52055160,VOLCAN CHILES,Cumbal,,0.84658333,-77.92122222,156974,2017-01-01T05:00:00Z,2020-05-05T17:00:00Z,8,DV; EV; HR; PA; PR; TM; TMIN; VV,2,TRUE
2,S07,52055170,LA JOSEFINA,Contadero,,0.93030556,-77.49119444,693356,2017-01-01T05:00:00Z,2022-06-29T14:50:00Z,6,DV; HR; PR; TM; TMIN; VV,2,TRUE
2,S06,52055220,EL PARAISO,Túquerres,,1.07061111,-77.63688889,819310,2017-01-01T05:00:00Z,2022-07-01T17:00:00Z,10,DV; EV; FA; HR; NU; PA; PR; TM; TMIN; VV,2,TRUE
2,S08,52055230,AEROPUERTO SAN LUIS,Aldana,,0.85708333,-77.67775,550671,2017-01-01T12:00:00Z,2022-07-01T17:00:00Z,9,DV; FA; HR; NU; PA; PR; TM; TMIN; VV,2,TRUE
3,S12,47015100,EL ENCANO,Pasto,,1.15994444,-77.16147222,431745,2017-01-01T12:00:00Z,2022-07-01T17:00:00Z,9,DV; FA; HR; NU; PA; PR; TM; TMIN; VV,3,TRUE
3,S11,52045080,UNIVERSIDAD DE NARINO,Pasto,,1.23,-77.28,724628,2017-01-01T05:00:00Z,2022-07-01T04:01:00Z,8,DV; FA; HR; PA; PR; TM; TMIN; VV,3,TRUE
3,S10,5205500123,LAS IGLESIAS,Pasto,,1.05480556,-77.27025,277963,2019-07-23T08:00:00Z,2022-06-02T19:10:00Z,7,DV; HR; PA; PR; TM; TMIN; VV,3,TRUE
3,S14,52055150,CERRO PARAMO,Puerres,,0.84311111,-77.38880556,609680,2017-01-01T05:00:00Z,2022-07-01T04:50:00Z,8,DV; EV; HR; PA; PR; TM; TMIN; VV,3,TRUE
3,S13,52055210,BOTANA,Pasto,,1.16,-77.27880556,785853,2017-01-01T05:00:00Z,2022-07-01T17:00:00Z,10,DV; EV; FA; HR; NU; PA; PR; TM; TMIN; VV,3,TRUE
4,S15,52035040,VIENTO LIBRE,Taminango,,1.62,-77.34,702622,2017-01-01T05:00:00Z,2022-07-01T00:40:00Z,9,DV; EV; FA; HR; NU; PR; TM; TMIN; VV,4,TRUE
4,S16,52040050,APONTE,El Tablón,,1.39733333,-77.03052778,192507,2017-01-08T12:00:00Z,2022-07-01T17:00:00Z,8,DV; FA; HR; PA; PR; TM; TMIN; VV,4,TRUE
