zone,zona,variable,diagnostic,lag,value
1,Zona 1,VV,ACF,1,0.924494025223425
1,Zona 1,VV,ACF,2,0.885606185653785
1,Zona 1,VV,ACF,3,0.871146731549873
1,Zona 1,VV,ACF,4,0.86535161156578
1,Zona 1,VV,ACF,5,0.865651738851209
1,Zona 1,VV,ACF,6,0.84920105526079
1,Zona 1,VV,ACF,7,0.850798206383662
1,Zona 1,VV,ACF,8,0.855327042406397
1,Zona 1,VV,ACF,9,0.845234678724368
1,Zona 1,VV,ACF,10,0.829931906206793
1,Zona 1,VV,ACF,11,0.821420713397635
1,Zona 1,VV,ACF,12,0.82383819258128
1,Zona 1,VV,ACF,13,0.820173179113015
1,Zona 1,VV,ACF,14,0.817525324151784
1,Zona 1,VV,ACF,15,0.801712248908103
1,Zona 1,VV,ACF,16,0.810204766222142
1,Zona 1,VV,ACF,17,0.801301319186531
1,Zona 1,VV,ACF,18,0.788963100727253
1,Zona 1,VV,ACF,19,0.779797504645954
1,Zona 1,VV,ACF,20,0.766880986876794
1,Zona 1,VV,ACF,21,0.772562119161182
1,Zona 1,VV,ACF,22,0.76931075351778
1,Zona 1,VV,ACF,23,0.764249233450099
1,Zona 1,VV,ACF,24,0.760315623885114
1,Zona 1,VV,ACF,25,0.759964110159751
1,Zona 1,VV,ACF,26,0.763066236890315
1,Zona 1,VV,ACF,27,0.755119149950897
1,Zona 1,VV,ACF,28,0.748038361788237
1,Zona 1,VV,ACF,29,0.743087003137187
1,Zona 1,VV,ACF,30,0.747886957743985
1,Zona 1,VV,ACF,31,0.74572135231718
1,Zona 1,VV,ACF,32,0.737683104795192
1,Zona 1,VV,ACF,33,0.730424886132004
1,Zona 1,VV,ACF,34,0.724440892127123
1,Zona 1,VV,ACF,35,0.725182377361126
1,Zona 1,VV,ACF,36,0.727972514989289
1,Zona 1,VV,ACF,37,0.729226153648293
1,Zona 1,VV,ACF,38,0.73423848883699
1,Zona 1,VV,ACF,39,0.739282343441953
1,Zona 1,VV,ACF,40,0.737952276412283
1,Zona 1,VV,ACF,41,0.737152395718692
1,Zona 1,VV,ACF,42,0.739212462207067
1,Zona 1,VV,ACF,43,0.741460313313055
1,Zona 1,VV,ACF,44,0.739803214418174
1,Zona 1,VV,ACF,45,0.741810002169039
1,Zona 1,VV,ACF,46,0.743299097579385
1,Zona 1,VV,ACF,47,0.739426523087794
1,Zona 1,VV,ACF,48,0.738635999369254
1,Zona 1,VV,ACF,49,0.739470013357267
1,Zona 1,VV,ACF,50,0.733298047464975
1,Zona 1,VV,ACF,51,0.728629214611783
1,Zona 1,VV,ACF,52,0.721653719416763
1,Zona 1,VV,ACF,53,0.718137807105347
1,Zona 1,VV,ACF,54,0.725064994104612
1,Zona 1,VV,ACF,55,0.726073158063338
1,Zona 1,VV,ACF,56,0.716487031420933
1,Zona 1,VV,ACF,57,0.719739134929897
1,Zona 1,VV,ACF,58,0.723605939524304
1,Zona 1,VV,ACF,59,0.720855244485251
1,Zona 1,VV,ACF,60,0.713614175823249
1,Zona 1,WPD,ACF,1,0.885026460577975
1,Zona 1,WPD,ACF,2,0.848434690742076
1,Zona 1,WPD,ACF,3,0.830247052516308
1,Zona 1,WPD,ACF,4,0.828696047957616
1,Zona 1,WPD,ACF,5,0.828276946013311
1,Zona 1,WPD,ACF,6,0.812798833490415
1,Zona 1,WPD,ACF,7,0.812333655550683
1,Zona 1,WPD,ACF,8,0.822221411202737
1,Zona 1,WPD,ACF,9,0.813667137410684
1,Zona 1,WPD,ACF,10,0.793960324919648
1,Zona 1,WPD,ACF,11,0.792617163354527
1,Zona 1,WPD,ACF,12,0.791357418916769
1,Zona 1,WPD,ACF,13,0.788895051700483
1,Zona 1,WPD,ACF,14,0.785175904583619
1,Zona 1,WPD,ACF,15,0.77211070395539
1,Zona 1,WPD,ACF,16,0.780257482738995
1,Zona 1,WPD,ACF,17,0.773341397289967
1,Zona 1,WPD,ACF,18,0.760896003635889
1,Zona 1,WPD,ACF,19,0.745767680524155
1,Zona 1,WPD,ACF,20,0.728984959605042
1,Zona 1,WPD,ACF,21,0.734877478100556
1,Zona 1,WPD,ACF,22,0.734753539538203
1,Zona 1,WPD,ACF,23,0.732726684860317
1,Zona 1,WPD,ACF,24,0.722177634707512
1,Zona 1,WPD,ACF,25,0.721300246781952
1,Zona 1,WPD,ACF,26,0.732557205720347
1,Zona 1,WPD,ACF,27,0.724047248933274
1,Zona 1,WPD,ACF,28,0.722034514310113
1,Zona 1,WPD,ACF,29,0.714788204763138
1,Zona 1,WPD,ACF,30,0.713849582102781
1,Zona 1,WPD,ACF,31,0.716944102249799
1,Zona 1,WPD,ACF,32,0.709213899696757
1,Zona 1,WPD,ACF,33,0.702565144715525
1,Zona 1,WPD,ACF,34,0.702064454568519
1,Zona 1,WPD,ACF,35,0.699352145545297
1,Zona 1,WPD,ACF,36,0.702316893684252
1,Zona 1,WPD,ACF,37,0.700315055440449
1,Zona 1,WPD,ACF,38,0.704809709626273
1,Zona 1,WPD,ACF,39,0.713434956225863
1,Zona 1,WPD,ACF,40,0.714263594665883
1,Zona 1,WPD,ACF,41,0.706775577236945
1,Zona 1,WPD,ACF,42,0.713921677451429
1,Zona 1,WPD,ACF,43,0.70865246198195
1,Zona 1,WPD,ACF,44,0.708110159967253
1,Zona 1,WPD,ACF,45,0.717270061666654
1,Zona 1,WPD,ACF,46,0.715121937351817
1,Zona 1,WPD,ACF,47,0.70794079509461
1,Zona 1,WPD,ACF,48,0.703343185589618
1,Zona 1,WPD,ACF,49,0.706995202057414
1,Zona 1,WPD,ACF,50,0.702950584732905
1,Zona 1,WPD,ACF,51,0.700457537430693
1,Zona 1,WPD,ACF,52,0.692573124798927
1,Zona 1,WPD,ACF,53,0.686734502399776
1,Zona 1,WPD,ACF,54,0.697536660946693
1,Zona 1,WPD,ACF,55,0.695003861040897
1,Zona 1,WPD,ACF,56,0.6887262285944
1,Zona 1,WPD,ACF,57,0.689765401327153
1,Zona 1,WPD,ACF,58,0.69090385963488
1,Zona 1,WPD,ACF,59,0.687588598961381
1,Zona 1,WPD,ACF,60,0.677460888554798
2,Zona 2,VV,ACF,1,0.874520241555065
2,Zona 2,VV,ACF,2,0.750516593490092
2,Zona 2,VV,ACF,3,0.666431422793328
2,Zona 2,VV,ACF,4,0.620161371697943
2,Zona 2,VV,ACF,5,0.580135603008014
2,Zona 2,VV,ACF,6,0.533973434063563
2,Zona 2,VV,ACF,7,0.49337373932248
2,Zona 2,VV,ACF,8,0.460317561328031
2,Zona 2,VV,ACF,9,0.428448236231224
2,Zona 2,VV,ACF,10,0.399894875437429
2,Zona 2,VV,ACF,11,0.381105743140919
2,Zona 2,VV,ACF,12,0.37214619364835
2,Zona 2,VV,ACF,13,0.369608375701077
2,Zona 2,VV,ACF,14,0.373661048902164
2,Zona 2,VV,ACF,15,0.374527366706572
2,Zona 2,VV,ACF,16,0.38199468344873
2,Zona 2,VV,ACF,17,0.406976228567627
2,Zona 2,VV,ACF,18,0.439373706636491
2,Zona 2,VV,ACF,19,0.44958599053293
2,Zona 2,VV,ACF,20,0.436930871791366
2,Zona 2,VV,ACF,21,0.427855187628525
2,Zona 2,VV,ACF,22,0.43232976423947
2,Zona 2,VV,ACF,23,0.446556045719793
2,Zona 2,VV,ACF,24,0.455995912437133
2,Zona 2,VV,ACF,25,0.451622850671113
2,Zona 2,VV,ACF,26,0.440687800798997
2,Zona 2,VV,ACF,27,0.420392078466142
2,Zona 2,VV,ACF,28,0.403913820257438
2,Zona 2,VV,ACF,29,0.393899125791764
2,Zona 2,VV,ACF,30,0.38372183683934
2,Zona 2,VV,ACF,31,0.368407939390353
2,Zona 2,VV,ACF,32,0.348637940742034
2,Zona 2,VV,ACF,33,0.329518470972468
2,Zona 2,VV,ACF,34,0.306995001768942
2,Zona 2,VV,ACF,35,0.28684769114805
2,Zona 2,VV,ACF,36,0.271474332304962
2,Zona 2,VV,ACF,37,0.259023136575241
2,Zona 2,VV,ACF,38,0.244286963581555
2,Zona 2,VV,ACF,39,0.234439643958437
2,Zona 2,VV,ACF,40,0.23856256631444
2,Zona 2,VV,ACF,41,0.241767036362212
2,Zona 2,VV,ACF,42,0.250664231094779
2,Zona 2,VV,ACF,43,0.268120051370026
2,Zona 2,VV,ACF,44,0.28456290470126
2,Zona 2,VV,ACF,45,0.293194502142822
2,Zona 2,VV,ACF,46,0.289819892012139
2,Zona 2,VV,ACF,47,0.281663157009952
2,Zona 2,VV,ACF,48,0.284602356789769
2,Zona 2,VV,ACF,49,0.285689841931883
2,Zona 2,VV,ACF,50,0.275635603517911
2,Zona 2,VV,ACF,51,0.276504116544692
2,Zona 2,VV,ACF,52,0.283340712706223
2,Zona 2,VV,ACF,53,0.266364890800715
2,Zona 2,VV,ACF,54,0.234535590063713
2,Zona 2,VV,ACF,55,0.205745344947609
2,Zona 2,VV,ACF,56,0.174787211940919
2,Zona 2,VV,ACF,57,0.146555311762735
2,Zona 2,VV,ACF,58,0.125215174159827
2,Zona 2,VV,ACF,59,0.102932421439609
2,Zona 2,VV,ACF,60,0.0825284217572398
2,Zona 2,WPD,ACF,1,0.881756920910821
2,Zona 2,WPD,ACF,2,0.751351854942099
2,Zona 2,WPD,ACF,3,0.684497665303279
2,Zona 2,WPD,ACF,4,0.661652432543434
2,Zona 2,WPD,ACF,5,0.624720506381567
2,Zona 2,WPD,ACF,6,0.602418807579623
2,Zona 2,WPD,ACF,7,0.593631170497026
2,Zona 2,WPD,ACF,8,0.568726202722651
2,Zona 2,WPD,ACF,9,0.5237466720895
2,Zona 2,WPD,ACF,10,0.494258705903134
2,Zona 2,WPD,ACF,11,0.450334353754545
2,Zona 2,WPD,ACF,12,0.428899179297724
2,Zona 2,WPD,ACF,13,0.428333997585297
2,Zona 2,WPD,ACF,14,0.451116060530629
2,Zona 2,WPD,ACF,15,0.463802007316534
