zone,zona,variable,diagnostic,lag,value
1,Zona 1,VV,PACF,1,0.924494025223425
1,Zona 1,VV,PACF,2,0.212764526441707
1,Zona 1,VV,PACF,3,0.215579177403682
1,Zona 1,VV,PACF,4,0.170202213362303
1,Zona 1,VV,PACF,5,0.166837674712419
1,Zona 1,VV,PACF,6,-0.000852943377771678
1,Zona 1,VV,PACF,7,0.157107113667289
1,Zona 1,VV,PACF,8,0.117144016439675
1,Zona 1,VV,PACF,9,-0.00161530275786808
1,Zona 1,VV,PACF,10,-0.030305757724805
1,Zona 1,VV,PACF,11,0.0306497404193289
1,Zona 1,VV,PACF,12,0.0636315509264488
1,Zona 1,VV,PACF,13,0.00682272586350667
1,Zona 1,VV,PACF,14,0.055453195755806
1,Zona 1,VV,PACF,15,-0.0774018610006637
1,Zona 1,VV,PACF,16,0.132261934742147
1,Zona 1,VV,PACF,17,-0.0678201066683284
1,Zona 1,VV,PACF,18,-0.010205784827241
1,Zona 1,VV,PACF,19,-0.0299123349257898
1,Zona 1,VV,PACF,20,-0.0469286975132923
1,Zona 1,VV,PACF,21,0.055781056632451
1,Zona 1,VV,PACF,22,0.0154782684463526
1,Zona 1,VV,PACF,23,0.021607816165134
1,Zona 1,VV,PACF,24,-0.005203668377723
1,Zona 1,VV,PACF,25,0.0577668273958661
1,Zona 1,VV,PACF,26,0.0464647073477182
1,Zona 1,VV,PACF,27,0.00342453334946435
1,Zona 1,VV,PACF,28,-0.0121702980051391
1,Zona 1,VV,PACF,29,0.00496846341372997
1,Zona 1,VV,PACF,30,0.0411050739052602
1,Zona 1,VV,PACF,31,0.0218744415852355
1,Zona 1,VV,PACF,32,-0.0223332743151646
1,Zona 1,VV,PACF,33,-0.0275011970330344
1,Zona 1,VV,PACF,34,-0.0126576410752241
1,Zona 1,VV,PACF,35,0.0118900083479217
1,Zona 1,VV,PACF,36,0.0896526264904091
1,Zona 1,VV,PACF,37,0.0231233365395517
1,Zona 1,VV,PACF,38,0.0577098458285278
1,Zona 1,VV,PACF,39,0.054244155053995
1,Zona 1,VV,PACF,40,0.015853092120516
1,Zona 1,VV,PACF,41,0.0497796427309943
1,Zona 1,VV,PACF,42,0.0343445738726687
1,Zona 1,VV,PACF,43,0.0296695598479766
1,Zona 1,VV,PACF,44,-0.0194944265476173
1,Zona 1,VV,PACF,45,0.0623353812875479
1,Zona 1,VV,PACF,46,0.0125722086679811
1,Zona 1,VV,PACF,47,-0.0373733106421382
1,Zona 1,VV,PACF,48,0.0116884239649042
1,Zona 1,VV,PACF,49,0.0225661652871201
1,Zona 1,VV,PACF,50,-0.0518743733449998
1,Zona 1,VV,PACF,51,-0.0236133134550443
1,Zona 1,VV,PACF,52,-0.066850814336721
1,Zona 1,VV,PACF,53,-0.0382429643070961
1,Zona 1,VV,PACF,54,0.0599273048887558
1,Zona 1,VV,PACF,55,0.00208848187986189
1,Zona 1,VV,PACF,56,-0.0604901149201677
1,Zona 1,VV,PACF,57,0.0580672371950045
1,Zona 1,VV,PACF,58,0.0540803662128061
1,Zona 1,VV,PACF,59,-0.00999182535566201
1,Zona 1,VV,PACF,60,-0.00109049042720223
1,Zona 1,WPD,PACF,1,0.885026460577975
1,Zona 1,WPD,PACF,2,0.30066629824724
1,Zona 1,WPD,PACF,3,0.197978823863147
1,Zona 1,WPD,PACF,4,0.200115554692772
1,Zona 1,WPD,PACF,5,0.160235569841881
1,Zona 1,WPD,PACF,6,0.0495225103775092
1,Zona 1,WPD,PACF,7,0.111972135290317
1,Zona 1,WPD,PACF,8,0.15415408972204
1,Zona 1,WPD,PACF,9,0.0376076944733123
1,Zona 1,WPD,PACF,10,-0.0330218123904645
1,Zona 1,WPD,PACF,11,0.063392829079491
1,Zona 1,WPD,PACF,12,0.0390074377593819
1,Zona 1,WPD,PACF,13,0.0214543486871008
1,Zona 1,WPD,PACF,14,0.0387693243402438
1,Zona 1,WPD,PACF,15,-0.0211966056469723
1,Zona 1,WPD,PACF,16,0.0684558757271226
1,Zona 1,WPD,PACF,17,-0.0023035646411165
1,Zona 1,WPD,PACF,18,-0.0250688346556893
1,Zona 1,WPD,PACF,19,-0.0519062958899559
1,Zona 1,WPD,PACF,20,-0.080090379142321
1,Zona 1,WPD,PACF,21,0.0363400759155112
1,Zona 1,WPD,PACF,22,0.0226373990592173
1,Zona 1,WPD,PACF,23,0.0262027602354057
1,Zona 1,WPD,PACF,24,-0.0255806261279198
1,Zona 1,WPD,PACF,25,0.0211860863781389
1,Zona 1,WPD,PACF,26,0.104167665550064
1,Zona 1,WPD,PACF,27,0.000152181831576802
1,Zona 1,WPD,PACF,28,0.0449054686733523
1,Zona 1,WPD,PACF,29,0.00259827564194054
1,Zona 1,WPD,PACF,30,-0.000623937467800108
1,Zona 1,WPD,PACF,31,0.0489663049687868
1,Zona 1,WPD,PACF,32,0.000720018564576824
