zone,zona,variable,period_days,frequency_cycles_day,power,power_fraction,rank
1,Zona 1,VV,906.5,0.00110314396028682,2444.76526809547,0.299292235153764,1
1,Zona 1,VV,1813,0.000551571980143409,2099.64511482983,0.257042051295438,2
1,Zona 1,VV,604.333333333333,0.00165471594043023,1295.41427013451,0.158586772079216,3
1,Zona 1,VV,453.25,0.00220628792057364,489.176342067522,0.0598857823744302,4
1,Zona 1,VV,362.6,0.00275785990071704,86.4341880991318,0.0105814172376731,5
1,Zona 1,VV,64.75,0.0154440154440154,56.5470531661737,0.00692258441099628,6
1,Zona 1,VV,82.4090909090909,0.012134583563155,51.7045941522337,0.00632976251482642,7
1,Zona 1,VV,62.5172413793104,0.0159955874241589,44.9844650833854,0.00550707312383051,8
1,Zona 1,VV,67.1481481481482,0.014892443463872,42.3152352287219,0.0051803015602097,9
1,Zona 1,VV,78.8260869565217,0.0126861555432984,40.7676223805816,0.00499084021824888,10
1,Zona 1,WPD,906.5,0.00110314396028682,1581394084.02114,0.294876181167433,1
1,Zona 1,WPD,1813,0.000551571980143409,1226961909.56116,0.228786642105877,2
1,Zona 1,WPD,604.333333333333,0.00165471594043023,851699151.637378,0.158812908101795,3
1,Zona 1,WPD,453.25,0.00220628792057364,313094904.619906,0.0583815449609747,4
1,Zona 1,WPD,362.6,0.00275785990071704,56452655.5253757,0.010526499147989,5
1,Zona 1,WPD,64.75,0.0154440154440154,32937591.4938458,0.00614173993357896,6
1,Zona 1,WPD,82.4090909090909,0.012134583563155,28927213.812965,0.00539394097092557,7
1,Zona 1,WPD,67.1481481481482,0.014892443463872,26398483.5443453,0.00492241882957733,8
1,Zona 1,WPD,62.5172413793104,0.0159955874241589,25055172.3302912,0.00467193700159904,9
1,Zona 1,WPD,78.8260869565217,0.0126861555432984,23674374.5740934,0.00441446520919367,10
2,Zona 2,VV,430.333333333333,0.00232378001549187,32.0745204554882,0.125540706923225,1
2,Zona 2,VV,184.428571428571,0.00542215336948102,25.197323173529,0.0986231350884164,2
2,Zona 2,VV,1291,0.000774593338497289,24.9660267387195,0.0977178333871765,3
2,Zona 2,VV,645.5,0.00154918667699458,14.9766756770901,0.0586191913444507,4
2,Zona 2,VV,215.166666666667,0.00464756003098373,14.121415168936,0.0552716741478587,5
2,Zona 2,VV,322.75,0.00309837335398916,12.4736942346183,0.0488224412998257,6
2,Zona 2,VV,161.375,0.00619674670797831,6.07994623769294,0.0237971055496972,7
2,Zona 2,VV,258.2,0.00387296669248644,4.87303390451676,0.0190732117751491,8
2,Zona 2,VV,117.363636363636,0.00852052672347018,4.22341078721075,0.0165305659546623,9
2,Zona 2,VV,23.9074074074074,0.0418280402788536,3.90474752701319,0.0152833076827521,10
2,Zona 2,WPD,1291,0.000774593338497289,367594.838205033,0.147804959484622,1
2,Zona 2,WPD,645.5,0.00154918667699458,214325.139796086,0.0861772672292726,2
2,Zona 2,WPD,430.333333333333,0.00232378001549187,187542.275466533,0.0754082363134913,3
2,Zona 2,WPD,184.428571428571,0.00542215336948102,144739.436566079,0.0581977882549696,4
2,Zona 2,WPD,322.75,0.00309837335398916,123757.696636792,0.0497613117383015,5
2,Zona 2,WPD,215.166666666667,0.00464756003098373,117322.986111632,0.0471740008470205,6
2,Zona 2,WPD,161.375,0.00619674670797831,102982.800721273,0.0414080044283175,7
2,Zona 2,WPD,258.2,0.00387296669248644,98239.6236336375,0.0395008364694591,8
2,Zona 2,WPD,143.444444444444,0.0069713400464756,88199.39694842,0.0354637958361593,9
2,Zona 2,WPD,129.1,0.00774593338497289,87086.9023074929,0.0350164766460096,10
3,Zona 3,VV,357,0.00280112044817927,30.9778046161503,0.124384114821105,1
3,Zona 3,VV,285.6,0.00350140056022409,14.7050287034396,0.0590445966510707,2
3,Zona 3,VV,178.5,0.00560224089635854,14.5458404194609,0.0584054134023569,3
3,Zona 3,VV,1428,0.000700280112044818,8.93726203195325,0.0358854812516059,4
3,Zona 3,VV,476,0.00210084033613445,7.93722183963291,0.0318700542176824,5
3,Zona 3,VV,158.666666666667,0.00630252100840336,7.50645000126377,0.0301403908516261,6
3,Zona 3,VV,204,0.00490196078431373,4.24226387373751,0.017033816415037,7
3,Zona 3,VV,42,0.0238095238095238,3.16156056534358,0.0126945055418341,8
3,Zona 3,VV,16.4137931034483,0.0609243697478992,3.0294502626068,0.0121640475811013,9
3,Zona 3,VV,714,0.00140056022408964,2.883792756997,0.0115791940020042,10
3,Zona 3,WPD,357,0.00280112044817927,84945.6662093249,0.061670081504112,1
3,Zona 3,WPD,285.6,0.00350140056022409,54390.1746603293,0.039486964479857,2
3,Zona 3,WPD,178.5,0.00560224089635854,49371.9058825248,0.0358437292408264,3
3,Zona 3,WPD,158.666666666667,0.00630252100840336,45438.2622499945,0.0329879258284606,4
3,Zona 3,WPD,1428,0.000700280112044818,22540.6088317723,0.0163643567216512,5
3,Zona 3,WPD,476,0.00210084033613445,21099.9765121989,0.0153184656652833,6
3,Zona 3,WPD,142.8,0.00700280112044818,19859.2584122549,0.0144177112211587,7
3,Zona 3,WPD,24.6206896551724,0.0406162464985994,16219.3283471647,0.0117751422261704,8
3,Zona 3,WPD,43.2727272727273,0.023109243697479,14520.4887261673,0.0105417941041938,9
3,Zona 3,WPD,14.28,0.0700280112044818,13767.5307709797,0.00999515081398569,10
4,Zona 4,VV,172.142857142857,0.00580912863070539,17.0939195835351,0.086212154272451,1
4,Zona 4,VV,200.833333333333,0.0049792531120332,11.344105477355,0.0572133129980734,2
4,Zona 4,VV,401.666666666667,0.0024896265560166,5.8728654762134,0.0296194434507778,3
4,Zona 4,VV,41.551724137931,0.0240663900414938,5.51216753973059,0.0278002851241081,4
4,Zona 4,VV,301.25,0.0033195020746888,3.94742742608732,0.0199086125668298,5
4,Zona 4,VV,40.1666666666667,0.024896265560166,3.31083586699143,0.0166980013648105,6
4,Zona 4,VV,150.625,0.00663900414937759,2.74794019950915,0.0138590709552501,7
4,Zona 4,VV,23.1730769230769,0.0431535269709544,2.62245729804238,0.0132262054964569,8
4,Zona 4,VV,20.0833333333333,0.049792531120332,2.25248660239857,0.0113602805672293,9
4,Zona 4,VV,46.3461538461539,0.0215767634854772,2.22872171533981,0.0112404237901242,10
4,Zona 4,WPD,172.142857142857,0.00580912863070539,14295.9443751035,0.0944354475186034,1
4,Zona 4,WPD,401.666666666667,0.0024896265560166,10412.6881322962,0.0687836240715593,2
4,Zona 4,WPD,200.833333333333,0.0049792531120332,9756.31445857134,0.0644477830811886,3
4,Zona 4,WPD,301.25,0.0033195020746888,5744.52041088127,0.0379468709129892,4
4,Zona 4,WPD,41.551724137931,0.0240663900414938,3517.61873302952,0.0232365131352899,5
4,Zona 4,WPD,150.625,0.00663900414937759,3052.84560602421,0.0201663376301442,6
4,Zona 4,WPD,38.8709677419355,0.0257261410788382,2214.25850378711,0.0146268401191576,7
4,Zona 4,WPD,602.5,0.0016597510373444,2213.07190289994,0.0146190017292713,8
4,Zona 4,WPD,20.0833333333333,0.049792531120332,2132.58846771015,0.0140873482042884,9
4,Zona 4,WPD,40.1666666666667,0.024896265560166,1876.4727091738,0.0123955113001055,10
