zone,Horizonte,h,split,N_total_origenes,N_elegibles,fraccion_elegible,fecha_objetivo_min,fecha_objetivo_max,cobertura_estaciones_origen_media,cobertura_estaciones_objetivo_media
1,Corto,1,train,28899,27352,0.94646873594242,2017-01-19T03:00:00Z,2020-04-19T08:00:00Z,0.534396022228722,0.534381398069611
1,Corto,1,validation,9634,8466,0.878762715383019,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.456602882116702,0.456461138672336
1,Corto,1,test,9635,7250,0.752464971458225,2021-05-25T19:00:00Z,2022-07-01T03:00:00Z,0.303889655172414,0.304
1,Corto,1,,1,0,0,,,,
1,Medio,12,train,28888,27112,0.938521185267239,2017-02-01T07:00:00Z,2020-04-19T08:00:00Z,0.535858660371791,0.536057834169371
1,Medio,12,validation,9634,8214,0.852605356030725,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.463647431214999,0.463257852447042
1,Medio,12,test,9635,6774,0.703061754021796,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.304222025391202,0.303306761145557
1,Medio,12,,12,0,0,,,,
1,Largo,72,train,28828,26767,0.928507007076453,2017-02-10T13:00:00Z,2020-04-19T08:00:00Z,0.535106661187283,0.536787835767923
1,Largo,72,validation,9634,8104,0.841187461075358,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.466806515301086,0.465004935834156
1,Largo,72,test,9635,6800,0.705760249091853,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.305205882352941,0.304911764705882
1,Largo,72,,72,0,0,,,,
2,Corto,1,train,28899,27998,0.968822450603827,2017-01-01T06:00:00Z,2020-04-19T08:00:00Z,0.628402028716337,0.628339524251732
2,Corto,1,validation,9634,7413,0.769462320946647,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.305004721435316,0.30503844597329
2,Corto,1,test,9635,8286,0.859989621172808,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.566014965001207,0.565864108134202
2,Corto,1,,1,0,0,,,,
2,Medio,12,train,28888,27776,0.961506507892551,2017-01-01T17:00:00Z,2020-04-19T08:00:00Z,0.629239271313364,0.629176267281106
2,Medio,12,validation,9634,6893,0.715486817521279,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.30781227332076,0.308320034817931
2,Medio,12,test,9635,7912,0.821172807472756,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.577192871587462,0.575897371081901
2,Medio,12,,12,0,0,,,,
2,Largo,72,train,28828,27354,0.948869154988206,2017-01-04T05:00:00Z,2020-04-19T08:00:00Z,0.629907874533889,0.629770783066462
2,Largo,72,validation,9634,6444,0.668881046294374,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.308154872749845,0.308154872749845
2,Largo,72,test,9635,7798,0.809340944473275,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.580950243652219,0.578609899974352
2,Largo,72,,72,0,0,,,,
3,Corto,1,train,28899,28015,0.969410706252811,2017-01-01T06:00:00Z,2020-04-19T08:00:00Z,0.641970373014457,0.642027485275745
3,Corto,1,validation,9634,6408,0.665144280672618,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.402247191011236,0.402153558052435
3,Corto,1,test,9635,8005,0.830825116761806,2021-05-25T19:00:00Z,2022-07-01T03:00:00Z,0.503760149906309,0.503635227982511
3,Corto,1,,1,0,0,,,,
3,Medio,12,train,28888,27806,0.962545001384658,2017-01-01T17:00:00Z,2020-04-19T08:00:00Z,0.642012515284471,0.642386535280155
3,Medio,12,validation,9634,6340,0.6580859456093,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.403343848580442,0.402271293375394
3,Medio,12,test,9635,7863,0.816087182148417,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.504616558565433,0.5040824112934
3,Medio,12,,12,0,0,,,,
3,Largo,72,train,28828,27382,0.949840432912446,2017-01-04T05:00:00Z,2020-04-19T08:00:00Z,0.641238769994887,0.642553502300782
3,Largo,72,validation,9634,6138,0.637118538509446,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.410980775496905,0.402117953730857
3,Largo,72,test,9635,7679,0.796990140114167,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.504284412032817,0.503398880062508
3,Largo,72,,72,0,0,,,,
4,Corto,1,train,28899,27767,0.960829094432333,2017-01-01T06:00:00Z,2020-04-19T08:00:00Z,0.500954370295675,0.500954370295675
4,Corto,1,validation,9634,1500,0.155698567573178,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.5,0.5
4,Corto,1,test,9635,7869,0.816709911779969,2021-05-25T19:00:00Z,2022-07-01T03:00:00Z,0.662028211971026,0.662854238149701
4,Corto,1,,1,0,0,,,,
4,Medio,12,train,28888,27455,0.950394627527001,2017-01-01T17:00:00Z,2020-04-19T08:00:00Z,0.500965215807685,0.500965215807685
4,Medio,12,validation,9634,1451,0.150612414365788,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.5,0.5
4,Medio,12,test,9635,7681,0.797197716658018,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.660070303345919,0.661111834396563
4,Medio,12,,12,0,0,,,,
4,Largo,72,train,28828,27050,0.93832385181074,2017-01-04T05:00:00Z,2020-04-19T08:00:00Z,0.50097966728281,0.50097966728281
4,Largo,72,validation,9634,1337,0.138779323230226,2020-04-19T09:00:00Z,2021-05-25T18:00:00Z,0.5,0.5
4,Largo,72,test,9635,7479,0.776232485729113,2021-05-25T19:00:00Z,2022-07-01T05:00:00Z,0.653563310603022,0.657240272763738
4,Largo,72,,72,0,0,,,,
