station_id,station_code,station_name,zone,longitude,latitude,altitude_m,municipality,category,technology,status
S01,5102500128,RESERVA NATURAL LA PLANADA,1,-77.9765,1.15783333,1835,Ricaurte (Nariño),Climática Principal,Automática con Telemetría,Activa
S02,51025060,BIOTOPO,1,-78.28161111,1.40863889,512,Barbacoas,Climática Principal,Automática con Telemetría,Activa
S03,51025080,ALTAQUER,1,-78.0925,1.24833333,110,Barbacoas,Climática Principal,Automática con Telemetría,Activa
S04,51025090,GRANJA MIRA,1,-78.69558333,1.55019444,16,Tumaco,Climática Principal,Automática con Telemetría,Activa
S05,51035020,CCCP DL PACIFICO,1,-78.73,1.81916667,1,Tumaco,Climática Principal,Convencional,Activa
S06,52055160,VOLCAN CHILES,2,-77.92122222,0.84658333,442,Cumbal,Climática Principal,Automática con Telemetría,Activa
S07,52055170,LA JOSEFINA,2,-77.49119444,0.93030556,2450,Contadero,Climática Principal,Automática con Telemetría,Activa
S08,52055220,EL PARAISO,2,-77.63688889,1.07061111,3120,Túquerres,Climática Principal,Automática con Telemetría,Activa
S09,52055230,AEROPUERTO SAN LUIS,2,-77.67775,0.85708333,2961,Aldana,Sinóptica Principal,Automática con Telemetría,Activa
S10,47015100,EL ENCANO,3,-77.16147222,1.15994444,2830,Pasto,Climática Principal,Automática con Telemetría,Activa
S11,52045080,UNIVERSIDAD DE NARINO,3,-77.28,1.23,2626,Pasto,Climática Ordinaria,Automática con Telemetría,Activa
S12,5205500123,LAS IGLESIAS,3,-77.27025,1.05480556,2973,Pasto,Climática Principal,Automática con Telemetría,Activa
S13,52055150,CERRO PARAMO,3,-77.38880556,0.84311111,3585,Puerres,Climática Principal,Automática con Telemetría,Activa
S14,52055210,BOTANA,3,-77.27880556,1.16,2820,Pasto,Climática Principal,Automática con Telemetría,Activa
S15,52035040,VIENTO LIBRE,4,-77.34,1.62,1400,Taminango,Climática Ordinaria,Automática con Telemetría,Activa
S16,52040050,APONTE,4,-77.03052778,1.39733333,1800,El Tablón,Pluviométrica,Convencional,Activa
