Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,R2_ord,Skill_ord
1,Corto,1,ARIMA,8732,239.601054647732,8.11163167161405,-0.000124792404590401,0.292890675352485,-0.000124792404590401,0.292890675352485
1,Medio,12,ARIMA,8721,239.752030002628,8.11473025257899,-0.000124287363267195,0.292901803808796,-0.000124287363267195,0.292901803808796
1,Largo,72,ARIMA,8661,240.580525748858,8.13748904173199,-0.000123987750983323,0.292903936162608,-0.000123987750983323,0.292903936162608
2,Corto,1,Persistencia,8793,7.39705832450631,3.9729693825865,0.637819152373762,,0.637819152373762,-Inf
2,Medio,12,ARIMAX,8782,13.1294304324881,11.404198682989,-0.139980126318393,0.205833740323866,-0.139980126318393,0.205833740323866
2,Largo,72,ARIMAX,8722,13.1446955555743,11.4237761376531,-0.138041411356772,0.109159281550895,-0.138041411356772,0.109159281550895
3,Corto,1,Persistencia,8497,3.7741069290436,1.83819762886917,0.732744969245916,,0.732744969245916,-Inf
3,Medio,12,ARIMA,8486,10.2975958480185,9.11684997633975,-0.9959360722124,0.00290191588172628,-0.9959360722124,0.00290191588172628
3,Largo,72,Persistencia,8426,8.14848347480216,4.07223721140437,-0.272807420857501,,-0.272807420857501,-Inf
4,Corto,1,ARIMAX,7450,16.1445460736281,13.6187195399072,0.657264148260109,0.181055745395719,0.657264148260109,0.181055745395719
4,Medio,12,ARIMAX,7439,16.154174464565,13.6292835451176,0.657193244148265,0.572048539198978,0.657193244148265,0.572048539198978
4,Largo,72,ARIMAX,7379,16.1676561416177,13.6383451469954,0.658595898609047,0.518382390092859,0.658595898609047,0.518382390092859
