Zona,Horizonte,h,Modelo,n_test,RMSE,MAE,R2,Skill_vs_Persist,Coverage_PI90,FNRR_mean_test
1,Corto,1,TDQ_PIESS_KFAS,9636,189.575134080679,19.3446987704594,0.0811970711927649,0.322260122606694,0.999896222498962,0.496726450803465
1,Medio,12,TDQ_PIESS_KFAS,9633,188.453362267662,12.1759739929074,0.0923211783402925,0.326378927336694,0.999896190179591,0.496817043813461
1,Largo,72,TDQ_PIESS_KFAS,9621,188.591218661136,10.66285618185,0.0921249044534223,0.326303808889719,0.999896060700551,0.497250465876651
2,Corto,1,TDQ_PIESS_KFAS,9636,1.35271618829595,0.769184931874621,0.983272653476417,0.82438302253754,1,0.542771869523667
2,Medio,12,TDQ_PIESS_KFAS,9633,0.825719286640082,0.451901860217035,0.993766882239093,0.919315792820566,1,0.542949908574291
2,Largo,72,TDQ_PIESS_KFAS,9621,1.11246533586331,0.634539584886979,0.988696466223438,0.909662152645014,1,0.543068254059059
3,Corto,1,TDQ_PIESS_KFAS,9636,2.98316201810489,1.73638024238371,0.754382444185733,0.286703696921845,1,0.524622484688212
3,Medio,12,TDQ_PIESS_KFAS,9633,0.893308139873953,0.433581139244298,0.97798171026427,0.821800277023509,1,0.524640581016268
3,Largo,72,TDQ_PIESS_KFAS,9621,1.01754400358149,0.522900025827617,0.971459058392611,0.85097500236391,1,0.524210123363884
4,Corto,1,TDQ_PIESS_KFAS,9636,15.5403043504696,7.84526323606234,0.551263792248249,0.265526704243896,0.989207139892071,0.510753177586945
4,Medio,12,TDQ_PIESS_KFAS,9633,0.502075046279025,0.227840674541159,0.999531742614533,0.98052352933953,1,0.510990779023349
4,Largo,72,TDQ_PIESS_KFAS,9621,1.15993567222075,0.528062025503167,0.99750102842906,0.957553084891643,1,0.510927266608813
